ts,1492,1491,1493,diff_FlowValve008_1492 - 1491,diff_FlowValve008_1492 - 1493
2020-11-10 00:24:10,111.8,709.3,676.6,-597.5,-564.8000000000001
2020-11-10 00:24:11,111.8,899.2,868.1,-787.4000000000001,-756.3000000000001
2020-11-10 00:24:12,111.8,1064.8,1040.3,-953.0,-928.5
2020-11-10 00:24:13,111.8,1184.3,1169.1,-1072.5,-1057.3
2020-11-10 00:24:14,111.8,1250.6,1250.0,-1138.8,-1138.2
2020-11-10 00:24:15,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:16,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:17,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:18,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:19,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:20,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:21,111.8,1250.6,1250.9,-1138.8,-1139.1000000000001
2020-11-10 00:24:26,111.3,695.0,657.3,-583.7,-546.0
2020-11-10 00:24:27,111.3,884.3,844.4,-773.0,-733.1
2020-11-10 00:24:28,111.3,1062.3,1027.5,-951.0,-916.2
2020-11-10 00:24:29,111.3,1192.9,1158.2,-1081.6000000000001,-1046.9
2020-11-10 00:24:30,111.3,1258.8,1258.0,-1147.5,-1146.7
2020-11-10 00:24:31,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:32,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:33,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:34,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:35,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:36,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:37,111.3,1258.8,1259.9,-1147.5,-1148.6000000000001
2020-11-10 00:24:42,115.3,695.7,660.8,-580.4000000000001,-545.5
2020-11-10 00:24:43,115.3,885.6,852.2,-770.3000000000001,-736.9000000000001
2020-11-10 00:24:44,115.3,1061.6,1032.9,-946.3,-917.6000000000001
2020-11-10 00:24:45,115.3,1188.0,1163.7,-1072.7,-1048.4
2020-11-10 00:24:46,115.3,1257.5,1256.3,-1142.2,-1141.0
2020-11-10 00:24:47,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:48,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:49,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:50,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:51,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:52,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:53,115.3,1257.5,1258.1,-1142.2,-1142.8
2020-11-10 00:24:58,113.1,694.6,661.5,-581.5,-548.4
2020-11-10 00:24:59,113.1,885.0,853.5,-771.9,-740.4
2020-11-10 00:25:00,113.1,1062.0,1034.5,-948.9,-921.4
2020-11-10 00:25:01,113.1,1186.9,1164.2,-1073.8000000000002,-1051.1000000000001
2020-11-10 00:25:02,113.1,1257.5,1255.3,-1144.4,-1142.2
2020-11-10 00:25:03,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:04,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:05,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:06,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:07,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:08,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:09,113.1,1257.5,1257.3,-1144.4,-1144.2
2020-11-10 00:25:14,116.0,689.4,652.8,-573.4,-536.8
2020-11-10 00:25:15,116.0,877.7,842.1,-761.7,-726.1
2020-11-10 00:25:16,116.0,1056.4,1026.0,-940.4000000000001,-910.0
2020-11-10 00:25:17,116.0,1183.1,1157.3,-1067.1,-1041.3
2020-11-10 00:25:18,116.0,1256.8,1256.2,-1140.8,-1140.2
2020-11-10 00:25:19,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:20,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:21,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:22,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:23,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:24,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:25,116.0,1256.8,1258.1,-1140.8,-1142.1
2020-11-10 00:25:30,111.0,689.4,648.2,-578.4,-537.2
2020-11-10 00:25:31,111.0,879.3,838.5,-768.3,-727.5
2020-11-10 00:25:32,111.0,1058.3,1023.1,-947.3,-912.1
2020-11-10 00:25:33,111.0,1183.5,1153.3,-1072.5,-1042.3
2020-11-10 00:25:34,111.0,1257.1,1256.5,-1146.1,-1145.5
2020-11-10 00:25:35,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:36,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:37,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:38,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:39,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:40,111.0,1257.1,1258.4,-1146.1,-1147.4
2020-11-10 00:25:41,111.0,1257.1,1258.4,-1146.1,-1147.4
