index,ts_18164,18164,index,ts_18165,18165,index,ts_34660,34660,index,ts_34661,34661
48665,2020-11-17 22:32:30+01:00,771.2199999999999,48666,2020-11-17 22:33:00+01:00,804.6300000000001,75567,2020-11-27 06:43:30+01:00,775.05,75568,2020-11-27 06:44:00+01:00,809.9849999999999
48666,2020-11-17 22:33:00+01:00,804.6300000000001,48667,2020-11-17 22:33:30+01:00,839.5550000000001,75568,2020-11-27 06:44:00+01:00,809.9849999999999,75569,2020-11-27 06:44:30+01:00,842.5600000000001
48667,2020-11-17 22:33:30+01:00,839.5550000000001,48668,2020-11-17 22:34:00+01:00,873.865,75569,2020-11-27 06:44:30+01:00,842.5600000000001,75570,2020-11-27 06:45:00+01:00,879.1999999999998
48668,2020-11-17 22:34:00+01:00,873.865,48669,2020-11-17 22:34:30+01:00,845.4857142857143,75570,2020-11-27 06:45:00+01:00,879.1999999999998,75571,2020-11-27 06:45:30+01:00,847.0095238095237
48669,2020-11-17 22:34:30+01:00,845.4857142857143,48670,2020-11-17 22:35:00+01:00,803.0727272727272,75571,2020-11-27 06:45:30+01:00,847.0095238095237,75572,2020-11-27 06:46:00+01:00,806.1272727272727
48670,2020-11-17 22:35:00+01:00,803.0727272727272,48671,2020-11-17 22:35:30+01:00,796.9409090909089,75572,2020-11-27 06:46:00+01:00,806.1272727272727,75573,2020-11-27 06:46:30+01:00,802.2136363636363
48671,2020-11-17 22:35:30+01:00,796.9409090909089,48672,2020-11-17 22:36:00+01:00,728.3900000000001,75573,2020-11-27 06:46:30+01:00,802.2136363636363,75574,2020-11-27 06:47:00+01:00,729.47
48672,2020-11-17 22:36:00+01:00,728.3900000000001,48673,2020-11-17 22:36:30+01:00,772.95,75574,2020-11-27 06:47:00+01:00,729.47,75575,2020-11-27 06:47:30+01:00,775.185
48673,2020-11-17 22:36:30+01:00,772.95,48674,2020-11-17 22:37:00+01:00,806.4549999999999,75575,2020-11-27 06:47:30+01:00,775.185,75576,2020-11-27 06:48:00+01:00,812.48
48674,2020-11-17 22:37:00+01:00,806.4549999999999,48675,2020-11-17 22:37:30+01:00,840.635,75576,2020-11-27 06:48:00+01:00,812.48,75577,2020-11-27 06:48:30+01:00,847.18
48675,2020-11-17 22:37:30+01:00,840.635,48676,2020-11-17 22:38:00+01:00,877.7,75577,2020-11-27 06:48:30+01:00,847.18,75578,2020-11-27 06:49:00+01:00,880.445
48676,2020-11-17 22:38:00+01:00,877.7,48677,2020-11-17 22:38:30+01:00,847.2857142857143,75578,2020-11-27 06:49:00+01:00,880.445,75579,2020-11-27 06:49:30+01:00,851.5619047619049
48677,2020-11-17 22:38:30+01:00,847.2857142857143,48678,2020-11-17 22:39:00+01:00,804.0136363636364,75579,2020-11-27 06:49:30+01:00,851.5619047619049,75580,2020-11-27 06:50:00+01:00,808.1272727272727
48678,2020-11-17 22:39:00+01:00,804.0136363636364,48679,2020-11-17 22:39:30+01:00,798.9090909090909,75580,2020-11-27 06:50:00+01:00,808.1272727272727,75581,2020-11-27 06:50:30+01:00,803.7863636363636
48679,2020-11-17 22:39:30+01:00,798.9090909090909,48680,2020-11-17 22:40:00+01:00,724.4699999999999,75581,2020-11-27 06:50:30+01:00,803.7863636363636,75582,2020-11-27 06:51:00+01:00,730.355
48680,2020-11-17 22:40:00+01:00,724.4699999999999,48681,2020-11-17 22:40:30+01:00,758.1399999999999,75582,2020-11-27 06:51:00+01:00,730.355,75583,2020-11-27 06:51:30+01:00,749.875
48681,2020-11-17 22:40:30+01:00,758.1399999999999,48682,2020-11-17 22:41:00+01:00,808.0150000000001,75583,2020-11-27 06:51:30+01:00,749.875,75584,2020-11-27 06:52:00+01:00,811.8149999999999
48682,2020-11-17 22:41:00+01:00,808.0150000000001,48683,2020-11-17 22:41:30+01:00,844.53,75584,2020-11-27 06:52:00+01:00,811.8149999999999,75585,2020-11-27 06:52:30+01:00,851.3
48683,2020-11-17 22:41:30+01:00,844.53,48684,2020-11-17 22:42:00+01:00,878.925,75585,2020-11-27 06:52:30+01:00,851.3,75586,2020-11-27 06:53:00+01:00,886.1200000000001
48684,2020-11-17 22:42:00+01:00,878.925,48685,2020-11-17 22:42:30+01:00,849.7190476190475,75586,2020-11-27 06:53:00+01:00,886.1200000000001,75587,2020-11-27 06:53:30+01:00,858.347619047619
48685,2020-11-17 22:42:30+01:00,849.7190476190475,48686,2020-11-17 22:43:00+01:00,806.2727272727273,75587,2020-11-27 06:53:30+01:00,858.347619047619,75588,2020-11-27 06:54:00+01:00,813.4454545454545
48686,2020-11-17 22:43:00+01:00,806.2727272727273,48687,2020-11-17 22:43:30+01:00,803.6545454545453,75588,2020-11-27 06:54:00+01:00,813.4454545454545,75589,2020-11-27 06:54:30+01:00,808.2227272727272
48687,2020-11-17 22:43:30+01:00,803.6545454545453,48688,2020-11-17 22:44:00+01:00,731.075,75589,2020-11-27 06:54:30+01:00,808.2227272727272,75590,2020-11-27 06:55:00+01:00,737.0150000000001
48688,2020-11-17 22:44:00+01:00,731.075,48689,2020-11-17 22:44:30+01:00,747.0649999999998,75590,2020-11-27 06:55:00+01:00,737.0150000000001,75591,2020-11-27 06:55:30+01:00,753.215
48689,2020-11-17 22:44:30+01:00,747.0649999999998,48690,2020-11-17 22:45:00+01:00,780.48,75591,2020-11-27 06:55:30+01:00,753.215,75592,2020-11-27 06:56:00+01:00,787.5000000000001
48690,2020-11-17 22:45:00+01:00,780.48,48691,2020-11-17 22:45:30+01:00,828.6800000000001,75592,2020-11-27 06:56:00+01:00,787.5000000000001,75593,2020-11-27 06:56:30+01:00,835.0599999999998
48691,2020-11-17 22:45:30+01:00,828.6800000000001,48692,2020-11-17 22:46:00+01:00,886.0450000000001,75593,2020-11-27 06:56:30+01:00,835.0599999999998,75594,2020-11-27 06:57:00+01:00,888.915
48692,2020-11-17 22:46:00+01:00,886.0450000000001,48693,2020-11-17 22:46:30+01:00,855.3380952380952,75594,2020-11-27 06:57:00+01:00,888.915,75595,2020-11-27 06:57:30+01:00,859.2952380952381
48693,2020-11-17 22:46:30+01:00,855.3380952380952,48694,2020-11-17 22:47:00+01:00,809.3136363636364,75595,2020-11-27 06:57:30+01:00,859.2952380952381,75596,2020-11-27 06:58:00+01:00,814.3409090909091
48694,2020-11-17 22:47:00+01:00,809.3136363636364,48695,2020-11-17 22:47:30+01:00,806.9227272727272,75596,2020-11-27 06:58:00+01:00,814.3409090909091,75597,2020-11-27 06:58:30+01:00,809.5090909090909
48695,2020-11-17 22:47:30+01:00,806.9227272727272,48696,2020-11-17 22:48:00+01:00,733.1899999999999,75597,2020-11-27 06:58:30+01:00,809.5090909090909,75598,2020-11-27 06:59:00+01:00,735.0899999999999
48696,2020-11-17 22:48:00+01:00,733.1899999999999,48697,2020-11-17 22:48:30+01:00,748.1100000000001,75598,2020-11-27 06:59:00+01:00,735.0899999999999,75599,2020-11-27 06:59:30+01:00,753.3
48697,2020-11-17 22:48:30+01:00,748.1100000000001,48698,2020-11-17 22:49:00+01:00,782.4749999999999,75599,2020-11-27 06:59:30+01:00,753.3,75600,2020-11-27 07:00:00+01:00,785.8
48698,2020-11-17 22:49:00+01:00,782.4749999999999,48699,2020-11-17 22:49:30+01:00,822.7199999999999,75600,2020-11-27 07:00:00+01:00,785.8,75601,2020-11-27 07:00:30+01:00,826.5400000000002
48699,2020-11-17 22:49:30+01:00,822.7199999999999,48700,2020-11-17 22:50:00+01:00,885.18,75601,2020-11-27 07:00:30+01:00,826.5400000000002,75602,2020-11-27 07:01:00+01:00,889.7700000000001
48700,2020-11-17 22:50:00+01:00,885.18,48701,2020-11-17 22:50:30+01:00,855.0666666666667,75602,2020-11-27 07:01:00+01:00,889.7700000000001,75603,2020-11-27 07:01:30+01:00,861.2714285714286
48701,2020-11-17 22:50:30+01:00,855.0666666666667,48702,2020-11-17 22:51:00+01:00,813.85,75603,2020-11-27 07:01:30+01:00,861.2714285714286,75604,2020-11-27 07:02:00+01:00,815.1954545454547
48702,2020-11-17 22:51:00+01:00,813.85,48703,2020-11-17 22:51:30+01:00,809.5954545454547,75604,2020-11-27 07:02:00+01:00,815.1954545454547,75605,2020-11-27 07:02:30+01:00,812.4363636363634
48703,2020-11-17 22:51:30+01:00,809.5954545454547,48704,2020-11-17 22:52:00+01:00,733.795,75605,2020-11-27 07:02:30+01:00,812.4363636363634,75606,2020-11-27 07:03:00+01:00,737.915
48704,2020-11-17 22:52:00+01:00,733.795,48705,2020-11-17 22:52:30+01:00,750.495,75606,2020-11-27 07:03:00+01:00,737.915,75607,2020-11-27 07:03:30+01:00,755.845
48705,2020-11-17 22:52:30+01:00,750.495,48706,2020-11-17 22:53:00+01:00,785.9850000000001,75607,2020-11-27 07:03:30+01:00,755.845,75608,2020-11-27 07:04:00+01:00,790.0249999999999
48706,2020-11-17 22:53:00+01:00,785.9850000000001,48707,2020-11-17 22:53:30+01:00,821.425,75608,2020-11-27 07:04:00+01:00,790.0249999999999,75609,2020-11-27 07:04:30+01:00,827.15
48707,2020-11-17 22:53:30+01:00,821.425,48708,2020-11-17 22:54:00+01:00,855.1200000000001,75609,2020-11-27 07:04:30+01:00,827.15,75610,2020-11-27 07:05:00+01:00,862.5249999999999
48708,2020-11-17 22:54:00+01:00,855.1200000000001,48709,2020-11-17 22:54:30+01:00,854.2238095238096,75610,2020-11-27 07:05:00+01:00,862.5249999999999,75611,2020-11-27 07:05:30+01:00,853.9238095238094
48709,2020-11-17 22:54:30+01:00,854.2238095238096,48710,2020-11-17 22:55:00+01:00,818.7727272727273,75611,2020-11-27 07:05:30+01:00,853.9238095238094,75612,2020-11-27 07:06:00+01:00,822.8636363636364
48710,2020-11-17 22:55:00+01:00,818.7727272727273,48711,2020-11-17 22:55:30+01:00,815.7499999999999,75612,2020-11-27 07:06:00+01:00,822.8636363636364,75613,2020-11-27 07:06:30+01:00,819.35
48711,2020-11-17 22:55:30+01:00,815.7499999999999,48712,2020-11-17 22:56:00+01:00,739.6099999999999,75613,2020-11-27 07:06:30+01:00,819.35,75614,2020-11-27 07:07:00+01:00,744.52
48712,2020-11-17 22:56:00+01:00,739.6099999999999,48713,2020-11-17 22:56:30+01:00,757.2450000000001,75614,2020-11-27 07:07:00+01:00,744.52,75615,2020-11-27 07:07:30+01:00,760.7600000000001
48713,2020-11-17 22:56:30+01:00,757.2450000000001,48714,2020-11-17 22:57:00+01:00,790.8850000000002,75615,2020-11-27 07:07:30+01:00,760.7600000000001,75616,2020-11-27 07:08:00+01:00,796.115
48714,2020-11-17 22:57:00+01:00,790.8850000000002,48715,2020-11-17 22:57:30+01:00,826.72,75616,2020-11-27 07:08:00+01:00,796.115,75617,2020-11-27 07:08:30+01:00,830.6899999999999
48715,2020-11-17 22:57:30+01:00,826.72,48716,2020-11-17 22:58:00+01:00,859.7900000000002,75617,2020-11-27 07:08:30+01:00,830.6899999999999,75618,2020-11-27 07:09:00+01:00,864.165
