index,A_ts_9583,index_9583,index,B_ts_9585,index_9585
33098,2020-11-05 12:49:00+01:00,536.6166666666667,33098,2020-11-05 12:49:00+01:00,547.3833333333333
33099,2020-11-05 12:49:30+01:00,783.1600000000001,33099,2020-11-05 12:49:30+01:00,791.1850000000001
33100,2020-11-05 12:50:00+01:00,819.0400000000001,33100,2020-11-05 12:50:00+01:00,826.625
33101,2020-11-05 12:50:30+01:00,854.3349999999998,33101,2020-11-05 12:50:30+01:00,860.1550000000001
33102,2020-11-05 12:51:00+01:00,823.0238095238095,33102,2020-11-05 12:51:00+01:00,829.4761904761903
33103,2020-11-05 12:51:30+01:00,778.1772727272727,33103,2020-11-05 12:51:30+01:00,784.9818181818181
33104,2020-11-05 12:52:00+01:00,795.0636363636364,33104,2020-11-05 12:52:00+01:00,800.9181818181819
33105,2020-11-05 12:52:30+01:00,737.67,33105,2020-11-05 12:52:30+01:00,744.3749999999999
33106,2020-11-05 12:53:00+01:00,752.9950000000001,33106,2020-11-05 12:53:00+01:00,759.1099999999999
33107,2020-11-05 12:53:30+01:00,785.2699999999998,33107,2020-11-05 12:53:30+01:00,792.3349999999998
33108,2020-11-05 12:54:00+01:00,822.8149999999998,33108,2020-11-05 12:54:00+01:00,829.05
33109,2020-11-05 12:54:30+01:00,860.4649999999999,33109,2020-11-05 12:54:30+01:00,865.5900000000001
33110,2020-11-05 12:55:00+01:00,825.0285714285714,33110,2020-11-05 12:55:00+01:00,830.8333333333331
33111,2020-11-05 12:55:30+01:00,782.0636363636364,33111,2020-11-05 12:55:30+01:00,789.4227272727272
33112,2020-11-05 12:56:00+01:00,777.0045454545453,33112,2020-11-05 12:56:00+01:00,784.6772727272727
33113,2020-11-05 12:56:30+01:00,806.1916666666666,33113,2020-11-05 12:56:30+01:00,813.8416666666667
33114,2020-11-05 12:57:00+01:00,806.1916666666666,33114,2020-11-05 12:57:00+01:00,813.8416666666667
33115,2020-11-05 12:57:30+01:00,806.1916666666666,33115,2020-11-05 12:57:30+01:00,813.8416666666667
33116,2020-11-05 12:58:00+01:00,806.1916666666666,33116,2020-11-05 12:58:00+01:00,813.8416666666667
33117,2020-11-05 12:58:30+01:00,806.1916666666666,33117,2020-11-05 12:58:30+01:00,813.8416666666667
33118,2020-11-05 12:59:00+01:00,806.1916666666666,33118,2020-11-05 12:59:00+01:00,813.8416666666667
33119,2020-11-05 12:59:30+01:00,806.1916666666666,33119,2020-11-05 12:59:30+01:00,813.8416666666667
33120,2020-11-05 13:00:00+01:00,806.1916666666666,33120,2020-11-05 13:00:00+01:00,813.8416666666667
33121,2020-11-05 13:00:30+01:00,806.1916666666666,33121,2020-11-05 13:00:30+01:00,813.8416666666667
33122,2020-11-05 13:01:00+01:00,806.1916666666666,33122,2020-11-05 13:01:00+01:00,813.8416666666667
33123,2020-11-05 13:01:30+01:00,1510.3,33123,2020-11-05 13:01:30+01:00,1509.0
33124,2020-11-05 13:02:00+01:00,1510.3,33124,2020-11-05 13:02:00+01:00,1509.0
33125,2020-11-05 13:02:30+01:00,1510.3,33125,2020-11-05 13:02:30+01:00,1509.0
33126,2020-11-05 13:03:00+01:00,1510.3,33126,2020-11-05 13:03:00+01:00,1509.0
33127,2020-11-05 13:03:30+01:00,1510.3,33127,2020-11-05 13:03:30+01:00,1509.0
33128,2020-11-05 13:04:00+01:00,1510.3,33128,2020-11-05 13:04:00+01:00,1509.0
33129,2020-11-05 13:04:30+01:00,1510.3,33129,2020-11-05 13:04:30+01:00,1509.0
33130,2020-11-05 13:05:00+01:00,343.0833333333333,33130,2020-11-05 13:05:00+01:00,353.8833333333334
33131,2020-11-05 13:05:30+01:00,1103.15,33131,2020-11-05 13:05:30+01:00,1109.2333333333333
33132,2020-11-05 13:06:00+01:00,53.6,33132,2020-11-05 13:06:00+01:00,70.9
33133,2020-11-05 13:06:30+01:00,879.35,33133,2020-11-05 13:06:30+01:00,887.5600000000001
33134,2020-11-05 13:07:00+01:00,797.3590909090909,33134,2020-11-05 13:07:00+01:00,804.4000000000001
33135,2020-11-05 13:07:30+01:00,795.1681818181819,33135,2020-11-05 13:07:30+01:00,800.8272727272729
33136,2020-11-05 13:08:00+01:00,757.1571428571428,33136,2020-11-05 13:08:00+01:00,763.352380952381
33137,2020-11-05 13:08:30+01:00,722.3299999999999,33137,2020-11-05 13:08:30+01:00,729.7850000000001
33138,2020-11-05 13:09:00+01:00,753.0600000000001,33138,2020-11-05 13:09:00+01:00,760.54
33139,2020-11-05 13:09:30+01:00,790.4949999999998,33139,2020-11-05 13:09:30+01:00,795.515
33140,2020-11-05 13:10:00+01:00,826.0,33140,2020-11-05 13:10:00+01:00,831.2250000000001
33141,2020-11-05 13:10:30+01:00,885.2049999999999,33141,2020-11-05 13:10:30+01:00,892.43
33142,2020-11-05 13:11:00+01:00,804.4454545454545,33142,2020-11-05 13:11:00+01:00,810.0818181818181
33143,2020-11-05 13:11:30+01:00,800.2409090909092,33143,2020-11-05 13:11:30+01:00,806.2090909090908
33144,2020-11-05 13:12:00+01:00,759.742857142857,33144,2020-11-05 13:12:00+01:00,766.6142857142856
33145,2020-11-05 13:12:30+01:00,728.99,33145,2020-11-05 13:12:30+01:00,735.49
33146,2020-11-05 13:13:00+01:00,755.6750000000001,33146,2020-11-05 13:13:00+01:00,763.965
33147,2020-11-05 13:13:30+01:00,790.53,33147,2020-11-05 13:13:30+01:00,797.5000000000002
33148,2020-11-05 13:14:00+01:00,826.805,33148,2020-11-05 13:14:00+01:00,833.095
33149,2020-11-05 13:14:30+01:00,855.725,33149,2020-11-05 13:14:30+01:00,862.0150000000001
33150,2020-11-05 13:15:00+01:00,806.8181818181816,33150,2020-11-05 13:15:00+01:00,813.05
33151,2020-11-05 13:15:30+01:00,737.875,33151,2020-11-05 13:15:30+01:00,743.0
33152,2020-11-05 13:16:00+01:00,737.875,33152,2020-11-05 13:16:00+01:00,743.0
33153,2020-11-05 13:16:30+01:00,737.875,33153,2020-11-05 13:16:30+01:00,743.0
33154,2020-11-05 13:17:00+01:00,737.875,33154,2020-11-05 13:17:00+01:00,743.0
33155,2020-11-05 13:17:30+01:00,737.875,33155,2020-11-05 13:17:30+01:00,743.0
33156,2020-11-05 13:18:00+01:00,737.875,33156,2020-11-05 13:18:00+01:00,743.0
33157,2020-11-05 13:18:30+01:00,737.875,33157,2020-11-05 13:18:30+01:00,743.0
